field	source_line	owner	type	referencing_files
store	831	app_infrastructure	ProjectStore	src/tmux.rs, src/usage.rs, src/tmux_observer.rs, src/project.rs, src/fswatch.rs, src/main.rs, src/prompt_library.rs, src/handlers/view.rs, src/handlers/dialog.rs, src/handlers/mouse.rs, src/handlers/harness.rs, src/handlers/feature_creation.rs, src/handlers/diff.rs, src/handlers/learning.rs, src/handlers/picker.rs, src/handlers/normal.rs, src/db/prompt_overrides.rs, src/db/plan_interviews.rs, src/db/learning.rs, src/db/store.rs, src/db/pr_investigations.rs, src/db/migrations.rs, src/db/todos.rs, src/db/mod.rs, src/db/prompt_templates.rs, src/app/search.rs, src/app/compose.rs, src/app/view.rs, src/app/session_ops.rs, src/app/review_destination.rs, src/app/automation.rs, src/app/navigation.rs, src/app/triage_feature.rs, src/app/pr_review.rs, src/app/claude_session_picker.rs, src/app/prompt_overrides.rs, src/app/tests.rs, src/app/rename.rs, src/app/diff.rs, src/app/codex_session_picker.rs, src/app/switcher.rs, src/app/state.rs, src/app/resource_gate.rs, src/app/util.rs, src/app/hooks.rs, src/app/commands.rs, src/app/sync.rs, src/app/learning.rs, src/app/session_config.rs, src/app/feature_ops.rs, src/app/bookmarks.rs, src/app/project_ops.rs, src/app/dormant.rs, src/app/context_hints.rs, src/app/handoff.rs, src/app/attention.rs, src/app/ai_review.rs, src/app/notifications.rs, src/app/editor_ops.rs, src/app/opencode.rs, src/app/prompt_library.rs, src/app/todos.rs, src/app/mod.rs, src/app/setup.rs, src/app/review.rs, src/app/plan_interview.rs, src/ui/status.rs, src/ui/dashboard.rs, src/ui/list.rs, src/ui/dialogs/prompt_library.rs, src/resources/limits.rs, src/resources/doctor.rs
store_path	832	app_infrastructure	PathBuf	src/project.rs, src/handlers/view.rs, src/app/tests.rs, src/app/prompt_library.rs, src/app/mod.rs
db	833	app_infrastructure	Option<crate::db::AmfDb>	src/extension.rs, src/upgrade.rs, src/context_collectors.rs, src/codex.rs, src/project.rs, src/main.rs, src/handlers/learning.rs, src/handlers/picker.rs, src/db/prompt_overrides.rs, src/db/plan_interviews.rs, src/db/learning.rs, src/db/ai_review_cache.rs, src/db/pr_terminal_state.rs, src/db/store.rs, src/db/editors.rs, src/db/pr_investigations.rs, src/db/migrations.rs, src/db/pr_review_cache.rs, src/db/pr_comment_triage.rs, src/db/todos.rs, src/db/mod.rs, src/db/prompt_templates.rs, src/prompts/project.rs, src/prompts/resolve.rs, src/app/session_ops.rs, src/app/automation.rs, src/app/pr_review.rs, src/app/prompt_overrides.rs, src/app/tests.rs, src/app/state.rs, src/app/sync.rs, src/app/learning.rs, src/app/feature_ops.rs, src/app/project_ops.rs, src/app/dormant.rs, src/app/attention.rs, src/app/ai_review.rs, src/app/notifications.rs, src/app/editor_ops.rs, src/app/opencode.rs, src/app/prompt_library.rs, src/app/todos.rs, src/app/mod.rs, src/app/plan_interview.rs, src/ui/dialogs/pr_review.rs, src/ui/dialogs/prompt_overrides.rs, src/ui/dialogs/todos.rs, src/resources/doctor.rs
precall_cleared	836	precall	Option<precall::PrecallAction>	src/app/precall.rs, src/app/tests.rs, src/app/mod.rs
precall_return	839	precall	Option<Box<precall::PendingPrecall>>	src/app/precall.rs, src/app/prompt_overrides.rs, src/app/mod.rs
config	840	app_infrastructure	AppConfig	src/claude.rs, src/headless.rs, src/custom_session_icons.rs, src/extension.rs, src/diff.rs, src/context_collectors.rs, src/http_client.rs, src/codex_config.rs, src/project.rs, src/fswatch.rs, src/main.rs, src/prompt_library.rs, src/plan_interview.rs, src/highlight/tree_sitter.rs, src/highlight/detect.rs, src/handlers/view.rs, src/handlers/config_wizard.rs, src/handlers/dialog.rs, src/handlers/diff.rs, src/handlers/diff_review.rs, src/handlers/normal.rs, src/db/plan_interviews.rs, src/db/migrations.rs, src/db/mod.rs, src/db/prompt_templates.rs, src/prompts/defaults.rs, src/prompts/project.rs, src/prompts/resolve.rs, src/prompts/mod.rs, src/app/compose.rs, src/app/view.rs, src/app/session_ops.rs, src/app/review_destination.rs, src/app/automation.rs, src/app/config_wizard.rs, src/app/triage_feature.rs, src/app/pr_review.rs, src/app/prompt_overrides.rs, src/app/tests.rs, src/app/diff.rs, src/app/state.rs, src/app/resource_gate.rs, src/app/hooks.rs, src/app/sync.rs, src/app/learning.rs, src/app/session_config.rs, src/app/feature_ops.rs, src/app/dormant.rs, src/app/attention.rs, src/app/review_memory.rs, src/app/ai_review.rs, src/app/notifications.rs, src/app/context_settings.rs, src/app/prompt_library.rs, src/app/mod.rs, src/app/setup.rs, src/app/review.rs, src/app/plan_interview.rs, src/ui/status.rs, src/ui/dashboard.rs, src/ui/list.rs, src/ui/dialogs/config_wizard.rs, src/ui/dialogs/pr_review.rs, src/ui/dialogs/diff.rs, src/ui/dialogs/ai_review.rs, src/ui/dialogs/help.rs, src/ui/dialogs/prompt_library.rs, src/ui/dialogs/session.rs, src/resources/doctor.rs
active_extension	841	app_infrastructure	ExtensionConfig	src/handlers/view.rs, src/handlers/batch_creation.rs, src/handlers/fork.rs, src/handlers/normal.rs, src/app/session_ops.rs, src/app/review_destination.rs, src/app/triage_feature.rs, src/app/tests.rs, src/app/rename.rs, src/app/switcher.rs, src/app/feature_ops.rs, src/app/project_ops.rs, src/app/mod.rs, src/ui/status.rs, src/ui/dashboard.rs, src/ui/list.rs
theme	842	app_infrastructure	crate::theme::Theme	src/theme.rs, src/markdown.rs, src/main.rs, src/highlight/theme.rs, src/highlight/mod.rs, src/handlers/dialog.rs, src/app/state.rs, src/app/attention.rs, src/app/mod.rs, src/app/setup.rs, src/ui/status.rs, src/ui/toast.rs, src/ui/header.rs, src/ui/pane.rs, src/ui/dashboard.rs, src/ui/picker.rs, src/ui/list.rs, src/ui/mod.rs, src/ui/dialogs/search.rs, src/ui/dialogs/compose.rs, src/ui/dialogs/precall.rs, src/ui/dialogs/review_destination.rs, src/ui/dialogs/config_wizard.rs, src/ui/dialogs/batch_creation.rs, src/ui/dialogs/pr_review.rs, src/ui/dialogs/prompt_overrides.rs, src/ui/dialogs/harness.rs, src/ui/dialogs/feature.rs, src/ui/dialogs/theme.rs, src/ui/dialogs/diff.rs, src/ui/dialogs/resource_gate.rs, src/ui/dialogs/debug.rs, src/ui/dialogs/hooks.rs, src/ui/dialogs/learning.rs, src/ui/dialogs/dormant.rs, src/ui/dialogs/handoff.rs, src/ui/dialogs/review_harness.rs, src/ui/dialogs/browse.rs, src/ui/dialogs/markdown.rs, src/ui/dialogs/ai_review.rs, src/ui/dialogs/project.rs, src/ui/dialogs/help.rs, src/ui/dialogs/context_settings.rs, src/ui/dialogs/prompt_library.rs, src/ui/dialogs/editor_view.rs, src/ui/dialogs/todos.rs, src/ui/dialogs/mod.rs, src/ui/dialogs/plan_interview.rs, src/ui/dialogs/session.rs
selection	843	app_infrastructure	Selection	src/headless.rs, src/theme.rs, src/main.rs, src/github.rs, src/plan_interview.rs, src/handlers/view.rs, src/handlers/mouse.rs, src/handlers/diff.rs, src/handlers/learning.rs, src/handlers/picker.rs, src/handlers/normal.rs, src/db/plan_interviews.rs, src/db/store.rs, src/db/migrations.rs, src/prompts/resolve.rs, src/app/search.rs, src/app/view.rs, src/app/session_ops.rs, src/app/review_destination.rs, src/app/navigation.rs, src/app/skill_picker.rs, src/app/pr_review.rs, src/app/claude_session_picker.rs, src/app/prompt_overrides.rs, src/app/tests.rs, src/app/rename.rs, src/app/diff.rs, src/app/plan.rs, src/app/codex_session_picker.rs, src/app/state.rs, src/app/util.rs, src/app/hooks.rs, src/app/commands.rs, src/app/sync.rs, src/app/learning.rs, src/app/session_config.rs, src/app/feature_ops.rs, src/app/bookmarks.rs, src/app/project_ops.rs, src/app/dormant.rs, src/app/handoff.rs, src/app/ai_review.rs, src/app/notifications.rs, src/app/opencode.rs, src/app/prompt_library.rs, src/app/todos.rs, src/app/mod.rs, src/app/review.rs, src/app/plan_interview.rs, src/ui/status.rs, src/ui/pane.rs, src/ui/picker.rs, src/ui/list.rs, src/ui/dialogs/compose.rs, src/ui/dialogs/pr_review.rs, src/ui/dialogs/feature.rs, src/ui/dialogs/diff.rs, src/ui/dialogs/learning.rs, src/ui/dialogs/dormant.rs
mode	844	app_infrastructure	AppMode	src/tmux.rs, src/claude.rs, src/headless.rs, src/automation.rs, src/extension.rs, src/upgrade.rs, src/theme.rs, src/editor.rs, src/diff.rs, src/tmux_observer.rs, src/codex_config.rs, src/project.rs, src/main.rs, src/plan_interview.rs, src/handlers/search.rs, src/handlers/compose.rs, src/handlers/view.rs, src/handlers/precall.rs, src/handlers/config_wizard.rs, src/handlers/skill_picker.rs, src/handlers/batch_creation.rs, src/handlers/pr_review.rs, src/handlers/dialog.rs, src/handlers/mouse.rs, src/handlers/prompt_overrides.rs, src/handlers/harness.rs, src/handlers/input.rs, src/handlers/feature_creation.rs, src/handlers/diff.rs, src/handlers/hooks.rs, src/handlers/learning.rs, src/handlers/diff_review.rs, src/handlers/dormant.rs, src/handlers/handoff.rs, src/handlers/browse.rs, src/handlers/ai_review.rs, src/handlers/fork.rs, src/handlers/picker.rs, src/handlers/normal.rs, src/handlers/prompt_library.rs, src/handlers/todos.rs, src/handlers/mod.rs, src/handlers/plan_interview.rs, src/db/plan_interviews.rs, src/db/learning.rs, src/db/store.rs, src/db/migrations.rs, src/db/todos.rs, src/db/mod.rs, src/prompts/defaults.rs, src/prompts/mod.rs, src/app/search.rs, src/app/compose.rs, src/app/view.rs, src/app/session_ops.rs, src/app/precall.rs, src/app/review_destination.rs, src/app/automation.rs, src/app/config_wizard.rs, src/app/navigation.rs, src/app/triage_feature.rs, src/app/skill_picker.rs, src/app/pr_review.rs, src/app/claude_session_picker.rs, src/app/prompt_overrides.rs, src/app/tests.rs, src/app/rename.rs, src/app/diff.rs, src/app/codex_session_picker.rs, src/app/switcher.rs, src/app/state.rs, src/app/resource_gate.rs, src/app/hooks.rs, src/app/commands.rs, src/app/sync.rs, src/app/learning.rs, src/app/session_config.rs, src/app/feature_ops.rs, src/app/bookmarks.rs, src/app/project_ops.rs, src/app/dormant.rs, src/app/context_hints.rs, src/app/handoff.rs, src/app/ai_review.rs, src/app/notifications.rs, src/app/opencode.rs, src/app/context_settings.rs, src/app/prompt_library.rs, src/app/todos.rs, src/app/mod.rs, src/app/syntax.rs, src/app/setup.rs, src/app/review.rs, src/app/plan_interview.rs, src/ui/status.rs, src/ui/pane.rs, src/ui/dashboard.rs, src/ui/picker.rs, src/ui/list.rs, src/ui/dialogs/review_destination.rs, src/ui/dialogs/config_wizard.rs, src/ui/dialogs/batch_creation.rs, src/ui/dialogs/pr_review.rs, src/ui/dialogs/feature.rs, src/ui/dialogs/diff.rs, src/ui/dialogs/learning.rs, src/ui/dialogs/help.rs, src/ui/dialogs/prompt_library.rs, src/ui/dialogs/todos.rs, src/ui/dialogs/plan_interview.rs, src/resources/limits.rs, src/resources/doctor.rs
